"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"when i was reading the news of jubair's death , i remember anand .";"আমি শুনলাম যখন পড়ছিল গেছিলাম।";"0.882876"
"2";"our classmate anand was similarly killed in the internal conflict of bcl during the previous awami league regime at the same university .";"অতিরিক্ত তাড়াতাড়ি আমাদের আছেন আমাদের নিজেকে আটটা তিরিশে দে।";"0.503165"
"3";"his assassins also included his classmates .";"উনি ওনার রুমালটা হিসাবে পছনে করলেন।";"3.435318"
"4";"there was no trial of that incident .";"শ্রেণীকক্ষের মধ্যে কোন চিহ্ন";"2.938175"
"5";"at that time , general students could not stimulate any strong movement against the killing .";"প্রথমে বাড়ি যেন যে তাঁরা পার্ক জন বিয়ে করেছে তখন তাকে দেখে বেশ অবাক মনে হয়েছিলো।";"1.222797"
"6";"but today students are united .";"জীবনে অধিকাংশ ক্ষেত্রে প্রচেষ্টার হয়েছে।";"4.372913"
"7";"it does not matter what party or organization they do , they will not accept the death of anyone in the educational institutions .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.574760"
"8";"after the death of anand , two factions of the chhatra league of jahangirnagar university were identified as rapists and murderers .";"রাতটা থাকার একটা অসুবিধে হোলো তাদের প্রথম";"0.385234"
"9";"with the awami league-led grand alliance government coming to power , the influence of power was found in jahangirnagar and several other universities .";"রাতটা কুয়াশার গরম অনুবাদ করতে তাহলে তাদের প্রথম";"0.373688"
"10";"such incidents occurred quite a few times ;";"জাপান অনুযায়ী দু ঘন্টা কেঁদেছে।";"2.931251"
"11";"a series of clash occurs between themselves .";"ইংরাজির শনিবারের শব্দ বইটা করেছেন।";"2.931251"
"12";"however , zubair's killing draws attention to some other factors .";"রাতটা কুয়াশার জন্য আমাদের একদমই চা তাহলে না।";"1.897742"
"13";"the biggest allegation surrounding this killing is against the administration , the head of this administration is a teacher .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত পশ্চিম দিকে অস্ত যায়।";"0.869343"
"14";"the vice chancellor of the university is regarded as the 'guardian' .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.708106"
"15";"it is the responsibility of him all to look after everyone of the institution .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"1.302622"
"16";"he can not deny responsibility for the death of a student in his institution .";"উনি যে তিনি জিতবেন পড়লে দিলেন , তখন আর কেউ বেরোলেন না।";"1.318704"
"17";"it is a matter of sorrow that the people in the administration's most powerful posts often forget that their first identity is 'teacher' .";"কয়েক বইটি সেই সমস্ত অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.622912"
"18";"student-teacher relationship is for the whole life- it is not limited within institutional boundaries .";"ভারী কুয়াশার জন্য একজনকেও আর ব্যাঙ্কের কাপ কফি করার মতো সাহস নয়।";"1.318704"
"19";"but they use ruling party's student wing workers in many ways to exercise power in the ongoing teachers' politics .";"ভারী কুয়াশার মানুষ তাদের থামে , তাহলে তাদের প্রাণ কফি করার মতো সাহস ছিলো না।";"0.941508"
"20";"the vice-chancellor himself maintains terrorism , this was never seen so clearly before .";"সূর্য অনুযায়ী মতোই এসেছিলো , তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"2.853184"
"21";"in fact , what is the fear of a vc ?";"জীবনে চড়াই উতরাই আছে।";"1.387896"
"22";"fear of general students ?";"পকেটমার থেকে সাবধান।";"11.598118"
"23";"or the fear of losing the post ?";"লন্ডন ইংল্যান্ডের রাজধানি।";"4.266709"
"24";"the university's students did not do anything outside the systematic process of raising their demands .";"আবহবার্তা অনুযায়ী মতোই এসেছিলো , তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"1.189425"
"25";"more concerning facts has been added to the ongoing movement of students and teachers at jahangirnagar university .";"রাতটা কুয়াশার লক্ষ জন্য অনুবাদ করতে যান।";"0.682170"
"26";"the teachers were divided .";"মুর্গিটা সফল ছিলো।";"11.598118"
"27";"the proctor has disrespected the president of the teachers' association .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.908841"
"28";"clash has happened .";"তিনটে কাছে করেছেন।";"16.186478"
"29";"a group of teachers is trying to boycott classes , as opposed to another group , trying to prove that the university is running at normal pace .";"অনেকেই বলে যে টম আমাদের দলের সব করতে চলেছিলো , মতো তা করার মতো সাহস ছিলো না।";"1.197413"
"30";"jahangirnagar university teachers' politics are not like other universities .";"ভারী বিশ্বযুদ্ধ লক্ষ জন্য নিজের প্রথম";"2.083626"
"31";"the groups are like rainbow .";"চাকরগুলোর তখনও শুকনো হয়েছিল।";"4.844232"
"32";"awami league , bnp , left and jamaat remain in the same camp .";"রাতটা শুনবেন , লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"2.608596"
"33";"here the factions are identified as for and against vc .";"এই বাসটা সেই জন্য কত কাপ চা আর এক";"1.908841"
"34";"students have been tortured in some of the other universities too .";"এখনকার ছাড়া মতোই করে আপনাকে পশ্চিম দিকে যায় ?";"1.708106"
"35";"the movement is underway at the jagannath university .";"সূর্য ডাক্তারখানার পাশে।";"3.057231"
"36";"chhatra league had harassed the vice-chancellor on teacher recruitment .";"যুদ্ধে কুয়াশার জন্য অনুবাদ থামে , যান।";"2.139090"
"37";"the officials of the administrative building have been disgruntled by them .";"সভাটার স্থান উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.708106"
"38";"yet , the vc did not feel ashamed .";"এখনকার ভাবে লক্ষ ঘন্টা থাকাটাও যথেষ্ট কঠিন।";"2.467579"
"39";"because , maybe his honor ​​are now mortgaged to power .";"এই রাস্তা লক্ষ মানুষ তাদের প্রাণ ছোড়া উচিত নয়।";"1.908841"
"40";"chattra league attacks have been carried out in the procession of the left organizations";"যুদ্ধে কুয়াশার জন্য অনুবাদ করতে যান।";"1.069769"
"41";"the girls of the left-leaning organizations have been attacked .";"দ্বিতীয় ঘরে তিনবার ঘটেছে।";"1.782093"
"42";"the vice chancellor did no feel any problem for that .";"আবহবার্তা অনুযায়ী মতোই এসেছিলো , তাই যথেষ্ট একদমই হবে।";"1.908841"
"43";"but his honor were disregarded when students locked the bank's main gate at one stage of the ongoing movement of university students under the leadership of the left-leaning student organizations against the increased pay-fees and some of their teachers had an argument with them .";"ভারী কুয়াশার জন্য একজনকেও হোলো তাদের প্রাণ তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.220252"
"44";"then , the teachers protests the incident the next day wearing black batches and proclaiming the case against the protesting students .";"ভারী কুয়াশার যদি মিত্রই থামে , তাহলে তাদের প্রাণ ছোড়া উচিৎ একজন।";"1.471766"
"45";"alas!";"বিদায়।";"84.089642"
"46";"how pathetic the impact of power is!";"বাসগুলো নদীটি অন্তর কিভাবে চলে ?";"3.435318"
"47";"last year many of the vice-chancellors went to meet the prime minister under the chairmanship of the university grants commission .";"গত সপ্তাহে এয়ারপোর্টের সপ্তাহে তাদের পরের রওনা শিশুর জন্ম দিয়েছেন।";"0.698383"
"48";"there was a demand among the many demands that they got equal respect like the mp's .";"বসন্তের প্রত্যক্ষ অনুবাদ যে টম চিহ্ন তখনও ছিলো না।";"0.980031"
"49";"it was understood what the vice-chancellors now want .";"আপনার সবে একা ভেবেছিলাম ছিল।";"2.399905"
"50";"the tendency of asking more power is the cause of the current situation of the universities .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"0.980031"
"51";"this vice-chancellors look like the faust of today .";"এই নদীটি প্রশান্ত ছাত্রছাত্রীদের বাড়িটা যাদের মাতৃভাষা ।";"2.436749"
"52";"they are busy to sell their soul in exchange for money , glory , prestige .";"যখন আয়নার জায়গায় তারা চুল ঘন্টা অপেক্ষা করতে হবে।";"1.095204"
"53";"the leaders of chhatra league or chhatra dal are the arms to keep their position .";"সূর্য পূর্বদিকে উদয় হয় আপনাকে পশ্চিম দিকে অস্ত স্থির করতে হয়নি।";"1.189425"
"54";"the teacher is constantly begging for power to the students .";"সূর্য পূর্বদিকে উদয় জন্য বিরক্ত কল হয়ে গেছে।";"1.897742"
"55";"maybe they do not value it , but we feel slighted as their colleagues ;";"চল্লিশ কোটি মানুষ হয়তো হয়তো যাও! পরবে।";"1.047173"
"56";"our head bow down out of shame .";"আমাদের মাতৃভাষা আমাদের মাতৃভাষা জাপানী।";"2.931251"
"57";"our classmates have returned from the university being dead , we can not save our students ;";"অতিরিক্ত তাড়াতাড়ি আমাদের যেতে আমাদের মাতৃভাষা শেখা ছাড়বে।";"0.896430"
"58";"such as , we could not save abu bakr , the student of the history and culture of islam of dhaka university .";"ভারী কুয়াশার জন্য অনুবাদ করতে পারো তাদের প্রাণ কফি করার মতো সাহস ছিলো না।";"0.746577"
"59";"why can we not ensure the security of the students ?";"আমি মিটিঙে বারো নেবে যাব।";"1.608705"
"60";"life and death of the campus";"ভালবাসা ছাড়া জীবন অর্থহীন।";"4.844232"
"61";"zubair's visible and invisible killers";"সাফল্য অধিকাংশ ক্ষেত্রে ভুতে করা হয়।";"4.058349"
"62";"after some days there will grow grass the grass in jubayer's grave , and media's attention will shift towards other killings .";"ভারী কুয়াশার জন্য অনুবাদ করা দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"0.801854"
"63";"there will be no shortage of events for protests in sonar bangla .";"শ্রেণীকক্ষের মধ্যে অনেক হলে আপনাকে অন্তত যেতে পারবো না।";"1.528480"
"64";"these factories will continue to be full ;";"এই গলাবার জিনিস সম্পূর্ণ অসম্পর্কিত।";"2.931251"
"65";"we will be mourning and protesting .";"আমরা একই ফুটবল থাকব।";"3.772692"
