"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"go . যাও।";"input sentence : যাও।";"15.973578"
"2";"go . যান।";"decoded sentence : go .";"21.364350"
"3";"go . যা।";"";"11.380295"
"4";"run! পালাও!";"-";"30.934850"
"5";"run! পালান!";"input sentence : যান।";"7.986789"
"6";"who ? কে ?";"decoded sentence : go .";"5.341088"
"7";"fire! আগুন!";"";"30.934850"
"8";"help! বাঁচাও!";"-";"30.934850"
"9";"help! বাঁচান!";"input sentence : যা।";"7.986789"
"10";"stop! থামুন!";"decoded sentence : go .";"5.341088"
"11";"stop! থামো!";"";"30.934850"
"12";"stop! থাম!";"-";"30.934850"
"13";"hello! নমস্কার!";"input sentence : পালাও!";"7.986789"
"14";"i see . বুঝলাম।";"decoded sentence : sit down .";"8.116698"
"15";"i try . আমি চেষ্টা করি।";"";"0.566592"
"16";"smile . একটু হাসুন।";"-";"4.186577"
"17";"smile . একটু হাসো।";"input sentence : পালান!";"7.986789"
"18";"attack! আক্রমণ!";"decoded sentence : sit down .";"4.058349"
"19";"get up . ওঠো।";"";"4.186577"
"20";"get up . উঠুন।";"-";"4.186577"
"21";"got it! বুঝে গেছি!";"input sentence : কে ?";"5.341088"
"22";"got it! ধরেছি!";"decoded sentence : who came ?";"4.058349"
"23";"got it ? বুঝেছো ?";"";"1.540156"
"24";"got it ? বুঝেছেন ?";"-";"1.540156"
"25";"got it ? বুঝেছিস ?";"input sentence : আগুন!";"6.220117"
"26";"i know . আমি জানি।";"decoded sentence : where are the bogk ?";"2.761199"
"27";"i know . আমার জানা আছে।";"";"0.566592"
"28";"i lost . আমি হেরে গেছি।";"-";"0.566592"
"29";"i'm 19 . আমার ১৯ বছর বয়স।";"input sentence : বাঁচাও!";"3.772692"
"30";"i'm ok . আমি ঠিক আছি।";"decoded sentence : step outside .";"8.116698"
"31";"listen . শোন।";"";"11.380295"
"32";"listen . শুনুন।";"-";"11.380295"
"33";"no way! কোন মতেই না!";"input sentence : বাঁচান!";"6.220117"
"34";"really ? সত্যি ?";"decoded sentence : step outside .";"4.058349"
"35";"really ? তাই নাক ?";"";"1.540156"
"36";"thanks . ধন্যবাদ।";"-";"11.380295"
"37";"try it . চেখে দেখুন।";"input sentence : থামুন!";"6.220117"
"38";"try it . চেখে দেখো।";"decoded sentence : stop!";"6.220117"
"39";"we won . আমরা জিতে গেছে।";"";"0.566592"
"40";"why me ? আমিই কেন ?";"-";"0.566592"
"41";"ask tom . টমকে জিজ্ঞাসা করো।";"input sentence : থামো!";"4.844232"
"42";"ask tom . টমকে জিজ্ঞাসা করুন।";"decoded sentence : stop!";"4.844232"
"43";"ask tom . টমকে জিজ্ঞাসা কর।";"";"0.566592"
"44";"call me . আমাকে ডেক।";"-";"1.540156"
"45";"call me . আমাকে ডাকবেন।";"input sentence : থাম!";"6.220117"
"46";"call me . আমাকে ডাকিস।";"decoded sentence : stop!";"6.220117"
"47";"call us . আমাদের ডেকো।";"";"1.540156"
"48";"call us . আমাদের ডাকিস।";"-";"1.540156"
"49";"call us . আমাদের ডাকবেন।";"input sentence : নমস্কার!";"6.220117"
"50";"come in . ভেতরে আসুন।";"decoded sentence : the students laughed .";"6.567275"
"51";"come in . ভেতরে আসো।";"";"1.540156"
